 the,1.0
the ,0.8247511899610558
 of ,0.47338814366075294
and ,0.3948507139766335
 to ,0.38706187797490266
 and,0.38100389441800087
his ,0.35266118563392473
 his,0.3022501081782778
"

",0.24967546516659456
ing ,0.2468628299437473
 in ,0.2066205106014712
d th,0.18325400259627866
n th,0.18238857637386413
 he ,0.1815231501514496
tion,0.17676330592816963
hat ,0.1735179575941151
ed t,0.17265253137170056
her ,0.1668109043704024
 tha,0.16270012981393336
with,0.16183470359151883
 was,0.16161834703591518
that,0.15902206836867158
was ,0.15750757247944613
f th,0.15642578970142795
of t,0.15577672003461704
", an",0.15144958892254434
