    ,1.0
"
   ",0.14546965918536992
self,0.07481296758104738
elf.,0.059850374064837904
 sel,0.05236907730673317
psho,0.04987531172069826
naps,0.04987531172069826
shot,0.04987531172069826
   s,0.04987531172069826
apsh,0.04987531172069826
data,0.0457190357439734
abas,0.04405652535328346
taba,0.04405652535328346
base,0.04405652535328346
atab,0.04405652535328346
able,0.04156275976724855
")
  ",0.04156275976724855
tabl,0.0399002493765586
  se,0.038237738985868665
snap,0.038237738985868665
name,0.03740648379052369
":
  ",0.03574397339983375
_dat,0.03325020781379884
_nam,0.03325020781379884
tion,0.025768911055694097
"

  ",0.024106400665004156
